ID Unique,CountryCode,SeriesCode,DESCRIPTION
322,MAR,NY.GDP.PCAP.PP.KD,Includes Former Spanish Sahara.
323,MAR,SP.POP.TOTL.FE.ZS,Morocco only. (Excluding former Spanish Sahara)
324,MAR,SP.POP.TOTL.MA.ZS,Morocco only. (Excluding former Spanish Sahara)
325,MAR,NY.GNP.PCAP.CD,Includes Former Spanish Sahara.
326,MAR,NY.GNP.PCAP.PP.CD,Includes Former Spanish Sahara.
327,MCO,SP.POP.GROW,Data sources: United Nations World Population Prospects
328,MCO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
329,MDA,SP.POP.TOTL,"Data sources : National Bureau of Statistics. Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova."
330,MDA,NY.GDP.PCAP.CD,Excludes Transnistria.
331,MDA,SP.POP.1564.TO.ZS,Including Transnistria.
332,MDA,NY.GDP.PCAP.KD,Excludes Transnistria.
333,MDA,SP.POP.1564.TO,Derived using ratio of age group from WPP and World Bank population.
334,MDA,SP.POP.1564.FE.IN,Derived using ratio of age group from WPP and World Bank population.
335,MDA,SP.POP.0014.TO.ZS,Including Transnistria.
336,MDA,NY.GDP.PCAP.PP.CD,Excludes Transnistria.
337,MDA,SP.POP.0014.TO,Derived using ratio of age group from WPP and World Bank population.
338,MDA,SP.POP.1564.MA.IN,Derived using ratio of age group from WPP and World Bank population.
339,MDA,SP.POP.GROW,"Data sources: National Bureau of Statistics. Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects 2010 Revision's growth rates of whole Moldova."
340,MDA,SP.POP.0014.MA.IN,Derived using ratio of age group from WPP and World Bank population.
341,MDA,NY.GNP.PCAP.PP.CD,Excludes Transnistria.
342,MDA,NY.GNP.PCAP.CD,Excludes Transnistria.
343,MDA,SP.POP.TOTL.MA.ZS,Excluding Transnistria.
344,MDA,SP.POP.TOTL.FE.ZS,Excluding Transnistria.
345,MDA,NY.GDP.PCAP.PP.KD,Excludes Transnistria.
346,MDA,SP.POP.0014.FE.IN,Derived using ratio of age group from WPP and World Bank population.
347,MDG,SP.POP.GROW,Data sources: United Nations World Population Prospects
348,MDG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
349,MDV,SP.POP.TOTL,"Data sources : For 1960-1989, United Nations World Population Prospects. For 1990 onwards, 1990, 1995, 2000, 2006, 2014 censuses, and data on expatriate employment from Maldives National Bureau of Statistics. The census data are adjusted for mid-year and for foreign population."
